Components:
FN elasticsearch 
FN kibana 
FN logstash
FN rabbitmq
FN config_server
FN discovery_server 
FN github_repository 
FN auth_server
FN monitor_dashboard
FN turbine_server
FN zipkin_server
FN product_service
FN recommendation_service
FN review_service
FN composite_service
FN edge_server 
FN user 
FP elk-config

Connections:
FN elasticsearch -> kibana  
FN logstash -> elasticsearch 
FN github_repository -> config_server 
FN config_server -> discovery_server 
FN config_server -> rabbitmq 
FN config_server -> auth_server 
FN config_server -> monitor_dashboard 
FN monitor_dashboard -> discovery_server 
FN rabbitmq -> turbine_server 
FN turbine_server -> discovery_server 
FN config_server -> turbine_server 
FN turbine_server -> monitor_dashboard 
FN rabbitmq -> zipkin_server 
FN config_server -> product_service 
FN product_service -> discovery_server 
FN config_server -> recommendation_service 
FN recommendation_service -> discovery_server 
FN config_server -> review_service 
FN review_service -> discovery_server 
FN config_server -> composite_service 
FN auth_server -> composite_service 
FN composite_service -> discovery_server 
FN composite_service -> rabbitmq 
FN composite_service -> product_service 
FN composite_service -> recommendation_service 
FN composite_service -> review_service 
FN edge_server -> user 
FN user -> edge_server 
FN edge_server -> composite_service 
FN discovery_server -> edge_server 
FN config_server -> edge_server 
FN edge_server -> auth_server 
FN discovery_server -> logstash 
FN config_server -> logstash 
FN auth_server -> logstash 
FN product_service -> logstash 
FN recommendation_service -> logstash 
FN review_service -> logstash 
FN composite_service -> logstash 
FN monitor_dashboard -> logstash 
FN edge_server -> logstash 
FN zipkin_server -> logstash 
