Groundtruth, attack-graph-generator, code2DFD, Contextmap, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
configserver, TP, TP, /, TP, TP, /, /, /
github_repository, FN, TP, /, FN, FN, /, /, /
webservice_registry, TP, TP, /, TP, TP, /, /, /
zipkin_tracing, TP, TP, /, TP, TP, /, /, /
mysqldb, TP, TP, /, TP, TP, /, /, /
auth_server, TP, TP, /, TP, TP, /, /, /
web_portal, TP, TP, /, TP, FN, /, /, /
user_webservice, TP, TP, /, TP, FN, /, /, /
comments_webservice, TP, TP, /, TP, FN, /, /, /
task_webservice, TP, TP, /, TP, FN, /, /, /
api_gateway, TP, TP, /, TP, TP, /, /, /
user, TP, TP, /, FN, FN, /, /, /
github_repository -> configserver, FN, TP, /, FN, FN, /, /, /
configserver -> webservice_registry, TP, TP, /, TP, FN, /, /, /
configserver -> zipkin_tracing, TP, TP, /, TP, FN, /, /, /
configserver -> auth_server, TP, TP, /, FN, FN, /, /, /
mysqldb -> auth_server, TP, TP, /, FN, FN, /, /, /
auth_server -> webservice_registry, TP, TP, /, TP, FN, /, /, /
web_portal -> webservice_registry, TP, TP, /, TP, FN, /, /, /
configserver -> web_portal, TP, TP, /, FN, FN, /, /, /
user_webservice -> zipkin_tracing, TP, FN, /, FN, FN, /, /, /
configserver -> user_webservice, TP, TP, /, FN, FN, /, /, /
user_webservice -> webservice_registry, TP, TP, /, TP, FN, /, /, /
auth_server -> user_webservice, TP, FN, /, FN, FN, /, /, /
comments_webservice -> zipkin_tracing, TP, FN, /, FN, FN, /, /, /
configserver -> comments_webservice, TP, TP, /, FN, FN, /, /, /
comments_webservice -> webservice_registry, TP, TP, /, TP, FN, /, /, /
task_webservice -> zipkin_tracing, TP, FN, /, FN, FN, /, /, /
configserver -> task_webservice, TP, TP, /, FN, FN, /, /, /
auth_server -> task_webservice, TP, FN, /, FN, FN, /, /, /
task_webservice -> webservice_registry, TP, TP, /, TP, FN, /, /, /
task_webservice -> web_portal, TP, FN, /, FN, FN, /, /, /
task_webservice -> comments_webservice, TP, TP, /, FN, FN, /, /, /
api_gateway -> user, TP, TP, /, FN, FN, /, /, /
user -> api_gateway, TP, TP, /, FN, FN, /, /, /
configserver -> api_gateway, TP, TP, /, FN, FN, /, /, /
webservice_registry -> api_gateway, TP, TP, /, FN, FN, /, /, /
api_gateway -> zipkin_tracing, TP, FN, /, FN, FN, /, /, /
auth_server -> api_gateway, TP, FN, /, TP, FN, /, /, /
api_gateway -> user_webservice, TP, FN, /, FN, FN, /, /, /
api_gateway -> task_webservice, TP, FN, /, FN, FN, /, /, /
