Groundtruth, attack-graph-generator, code2DFD, Contextmap, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
discovery_service, FN, TP, /, FN, /, /, /, /
config_service, TP, TP, /, TP, /, /, /, /
github_repository, FN, TP, /, FN, /, /, /, /
account_service, TP, TP, /, TP, /, /, /, /
customer_service, TP, TP, /, TP, /, /, /, /
store_service, TP, TP, /, TP, /, /, /, /
item_service, FN, TP, /, FN, /, /, /, /
price_service, TP, TP, /, TP, /, /, /, /
foodtray_service, FN, TP, /, FN, /, /, /, /
github_repository -> config_service, FN, TP, /, FN, /, /, /, /
config_service -> discovery_service, FN, TP, /, FN, /, /, /, /
config_service -> account_service, TP, TP, /, TP, /, /, /, /
account_service -> discovery_service, FN, TP, /, FN, /, /, /, /
config_service -> customer_service, TP, TP, /, TP, /, /, /, /
customer_service -> discovery_service, FN, TP, /, FN, /, /, /, /
config_service -> store_service, TP, TP, /, TP, /, /, /, /
store_service -> discovery_service, FN, TP, /, FN, /, /, /, /
config_service -> item_service, FN, TP, /, FN, /, /, /, /
item_service -> discovery_service, FN, TP, /, FN, /, /, /, /
config_service -> price_service, TP, TP, /, TP, /, /, /, /
price_service -> discovery_service, FN, TP, /, FN, /, /, /, /
config_service -> foodtray_service, FN, TP, /, FN, /, /, /, /
foodtray_service -> discovery_service, FN, TP, /, FN, /, /, /, /
foodtray_service -> item_service, FN, TP, /, FN, /, /, /, /
foodtray_service -> price_service, FN, TP, /, FN, /, /, /, /
