Groundtruth, attack-graph-generator, code2DFD, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
configserver, TP, TP, TP, /, FN, /, /
github_repository, FN, TP, FN, /, FN, /, /
webservice_registry, TP, TP, TP, /, FN, /, /
auth_server, TP, TP, TP, /, FN, /, /
database_auth_server, FN, TP, FN, /, FN, /, /
web_portal, TP, TP, TP, /, FN, /, /
user_webservice, TP, TP, TP, /, FN, /, /
comments_webservice, TP, TP, TP, /, FN, /, /
task_webservice, TP, TP, TP, /, FN, /, /
api_gateway, TP, TP, TP, /, FN, /, /
user, TP, TP, FN, /, FN, /, /
github_repository -> configserver, FN, TP, FN, /, FN, /, FN
configserver -> webservice_registry, TP, TP, TP, /, FN, /, FN
database_auth_server -> auth_server, TP, TP, FN, /, FN, /, FN
configserver -> auth_server, TP, TP, TP, /, FN, /, FN
auth_server -> webservice_registry, TP, TP, FN, /, FN, /, FN
configserver -> web_portal, TP, TP, TP, /, FN, /, FN
web_portal -> webservice_registry, TP, TP, TP, /, FN, /, FN
configserver -> user_webservice, TP, TP, TP, /, FN, /, FN
user_webservice -> webservice_registry, TP, TP, TP, /, FN, /, FN
auth_server -> user_webservice, TP, FN, TP, /, FN, /, FN
configserver -> comments_webservice, TP, TP, TP, /, FN, /, FN
comments_webservice -> webservice_registry, TP, TP, TP, /, FN, /, FN
auth_server -> comments_webservice, TP, FN, TP, /, FN, /, FN
task_webservice -> webservice_registry, TP, TP, TP, /, FN, /, FN
auth_server -> task_webservice, TP, FN, TP, /, FN, /, FN
configserver -> task_webservice, TP, TP, TP, /, FN, /, FN
task_webservice -> comments_webservice, TP, TP, FN, /, FN, /, FN
user -> api_gateway, FN, TP, FN, /, FN, /, FN
api_gateway -> user, FN, TP, FN, /, FN, /, FN
api_gateway -> auth_server, TP, FN, TP, /, FN, /, FN
database_auth_server -> api_gateway, FN, FN, FN, /, FN, /, FN
api_gateway -> user_webservice, TP, FN, FN, /, FN, /, FN
api_gateway -> task_webservice, TP, FN, FN, /, FN, /, FN
api_gateway -> web_portal, TP, FN, FN, /, FN, /, FN
configserver -> api_gateway, TP, TP, TP, /, FN, /, FN
webservice_registry -> api_gateway, TP, TP, TP, /, FN, /, FN
