Groundtruth, attack-graph-generator, code2DFD, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
config_service, /, TP, /, /, FN, /, /
github_repository, /, TP, /, /, FN, /, /
eureka_service, /, TP, /, /, FN, /, /
movie_service, /, TP, /, /, TP, /, /
database_movie_service, /, FN, /, /, FN, /, /
user_service, /, TP, /, /, TP, /, /
database_user_service, /, TP, /, /, FN, /, /
recommendation_service, /, TP, /, /, FN, /, /
database_recommendation_service, /, TP, /, /, FN, /, /
recommendation_client, /, TP, /, /, TP, /, /
user, /, TP, /, /, FN, /, /
github_repository -> config_service, /, TP, /, /, FN, FN, FN
config_service -> eureka_service, /, TP, /, /, FN, FN, FN
movie_service -> eureka_service, /, TP, /, /, FN, FN, FN
config_service -> movie_service, /, TP, /, /, FN, FN, FN
database_movie_service -> movie_service, /, FN, /, /, FN, FN, FN
user_service -> eureka_service, /, TP, /, /, FN, FN, FN
config_service -> user_service, /, TP, /, /, FN, FN, FN
database_user_service -> user_service, /, TP, /, /, FN, FN, FN
recommendation_service -> eureka_service, /, TP, /, /, FN, FN, FN
config_service -> recommendation_service, /, TP, /, /, FN, FN, FN
database_recommendation_service -> recommendation_service, /, TP, /, /, FN, FN, FN
eureka_service -> recommendation_client, /, TP, /, /, FN, FN, FN
user -> recommendation_client, /, TP, /, /, FN, FN, FN
recommendation_client -> user, /, TP, /, /, FN, FN, FN
config_service -> recommendation_client, /, TP, /, /, FN, FN, FN
recommendation_client -> recommendation_service, /, TP, /, /, FN, FN, TP
recommendation_client -> movie_service, /, TP, /, /, FN, FN, TP
recommendation_client -> user_service, /, TP, /, /, TP, FN, TP
