Groundtruth, attack-graph-generator, code2DFD, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
config_server, TP, TP, TP, /, FN, /, /
admin, TP, TP, TP, /, FN, /, /
eureka_server, TP, TP, TP, /, FN, /, /
user_service, TP, TP, TP, /, FN, /, /
kafka, TP, TP, TP, /, FN, /, /
mailer, TP, TP, TP, /, TP, /, /
reminder, TP, TP, TP, /, TP, /, /
api_gateway, TP, TP, TP, /, FN, /, /
oauth, TP, TP, TP, /, FN, /, /
proxy, TP, TP, TP, /, TP, /, /
user, TP, FN, FN, /, TP, /, /
zookeeper, TP, TP, TP, /, FN, /, /
logstash, FN, TP, FN, /, FN, /, /
jmx_monitoring, FN, TP, FN, /, FN, /, /
todo_infra, FN, TP, FN, /, FN, /, /
admin -> config_server, TP, TP, FN, /, FP, FN, FN
config_server -> eureka_server, TP, TP, TP, /, FN, FN, FN
eureka_server -> admin, TP, TP, TP, /, FN, FN, FN
admin -> user_service, TP, TP, TP, /, FN, FN, FN
config_server -> user_service, TP, TP, FN, /, FN, FN, FN
admin -> mailer, TP, TP, TP, /, FN, FN, FN
config_server -> mailer, TP, TP, FN, /, FN, FN, FN
mailer -> eureka_server, TP, TP, TP, /, FN, FN, FN
kafka -> mailer, TP, TP, FN, /, FN, FN, FN
reminder -> eureka_server, TP, TP, TP, /, FN, FN, FN
admin -> reminder, TP, TP, TP, /, FN, FN, FN
config_server -> reminder, TP, TP, FN, /, FN, FN, FN
reminder -> kafka, TP, TP, FN, /, FN, FN, FN
eureka_server -> api_gateway, TP, TP, TP, /, FN, FN, FN
admin -> api_gateway, TP, TP, TP, /, FN, FN, FN
config_server -> api_gateway, TP, TP, FN, /, FN, FN, FN
api_gateway -> user_service, TP, TP, FN, /, FN, FN, FN
config_server -> oauth, TP, TP, FN, /, FN, FN, FN
oauth -> user_service, TP, TP, TP, /, FN, FN, FN
oauth -> eureka_server, TP, TP, TP, /, FN, FN, FN
admin -> oauth, TP, FN, TP, /, FN, FN, FN
user -> proxy, TP, FN, FN, /, FN, FN, FN
proxy -> user, TP, FN, FN, /, FN, FN, FN
proxy -> api_gateway, TP, FN, TP, /, FN, FN, FN
zookeeper -> kafka, TP, TP, TP, /, FN, FN, FN
proxy -> logstash, FN, FN, FN, /, FN, FN, FN
user_service -> logstash, FN, TP, FN, /, FN, FN, FN
reminder -> logstash, FN, TP, FN, /, FN, FN, FN
eureka_server -> logstash, FN, TP, FN, /, FN, FN, FN
api_gateway -> logstash, FN, TP, FN, /, FN, FN, FN
oauth -> logstash, FN, TP, FN, /, FN, FN, FN
admin -> logstash, FN, TP, FN, /, FN, FN, FN
config_server -> logstash, FN, TP, FN, /, FN, FN, FN
mailer -> logstash, FN, TP, FN, /, FN, FN, FN
