Groundtruth, attack-graph-generator, code2DFD, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
elasticsearch, TP, TP, /, /, FN, /, /
kibana, TP, TP, /, /, FN, /, /
logstash, TP, TP, /, /, FN, /, /
rabbitmq, TP, TP, /, /, FN, /, /
config_server, TP, TP, /, /, FN, /, /
discovery_server, TP, TP, /, /, FN, /, /
github_repository, FN, FN, /, /, FN, /, /
auth_server, TP, TP, /, /, FN, /, /
monitor_dashboard, TP, TP, /, /, FN, /, /
turbine_server, FN, TP, /, /, FN, /, /
zipkin_server, TP, TP, /, /, FN, /, /
product_service, TP, TP, /, /, FN, /, /
recommendation_service, TP, TP, /, /, FN, /, /
review_service, TP, TP, /, /, FN, /, /
composite_service, TP, TP, /, /, FN, /, /
edge_server, TP, TP, /, /, FN, /, /
user, TP, TP, /, /, FN, /, /
elasticsearch -> kibana, TP, TP, /, /, FP, /, FN
logstash -> elasticsearch, TP, TP, /, /, FN, /, FN
github_repository -> config_server, FN, FN, /, /, FN, /, FN
config_server -> discovery_server, TP, TP, /, /, FN, /, FN
config_server -> rabbitmq, TP, FN, /, /, FN, /, FN
config_server -> auth_server, TP, TP, /, /, FN, /, FN
config_server -> monitor_dashboard, TP, TP, /, /, FN, /, FN
monitor_dashboard -> discovery_server, TP, FN, /, /, FN, /, FN
rabbitmq -> turbine_server, FN, FN, /, /, FN, /, FN
turbine_server -> discovery_server, FN, TP, /, /, FN, /, FN
config_server -> turbine_server, FN, TP, /, /, FN, /, FN
turbine_server -> monitor_dashboard, FN, TP, /, /, FN, /, FN
rabbitmq -> zipkin_server, TP, FN, /, /, FN, /, FN
config_server -> product_service, TP, TP, /, /, FN, /, FN
product_service -> discovery_server, TP, TP, /, /, FN, /, FN
config_server -> recommendation_service, TP, TP, /, /, FN, /, FN
recommendation_service -> discovery_server, TP, TP, /, /, FN, /, FN
config_server -> review_service, TP, TP, /, /, FN, /, FN
review_service -> discovery_server, TP, TP, /, /, FN, /, FN
config_server -> composite_service, TP, TP, /, /, FN, /, FN
auth_server -> composite_service, TP, FN, /, /, FN, /, TP
composite_service -> discovery_server, TP, TP, /, /, FN, /, FN
composite_service -> rabbitmq, TP, FN, /, /, FN, /, FN
composite_service -> product_service, TP, FN, /, /, FN, /, FN
composite_service -> recommendation_service, TP, FN, /, /, FN, /, FN
composite_service -> review_service, TP, FN, /, /, FN, /, FN
edge_server -> user, TP, TP, /, /, FN, /, FN
user -> edge_server, TP, TP, /, /, FN, /, FN
edge_server -> composite_service, TP, FN, /, /, FN, /, FN
discovery_server -> edge_server, TP, FN, /, /, FN, /, FN
config_server -> edge_server, TP, TP, /, /, FN, /, FN
edge_server -> auth_server, TP, FN, /, /, FN, /, FN
discovery_server -> logstash, TP, FN, /, /, FN, /, FN
config_server -> logstash, TP, FN, /, /, FN, /, FN
auth_server -> logstash, TP, FN, /, /, FN, /, FN
product_service -> logstash, TP, FN, /, /, FN, /, FN
recommendation_service -> logstash, TP, FN, /, /, FN, /, FN
review_service -> logstash, TP, FN, /, /, FN, /, FN
composite_service -> logstash, TP, FN, /, /, FN, /, FN
monitor_dashboard -> logstash, TP, FN, /, /, FN, /, FN
edge_server -> logstash, TP, FN, /, /, FN, /, FN
zipkin_server -> logstash, TP, FN, /, /, FN, /, FN
